Date,MLD_median
01-Dec-2012,61.1170120239258
01-Jan-2013,273.858581542969
01-Feb-2013,598.54931640625
01-Mar-2013,237.492401123047
01-Apr-2013,20.9585628509521
01-May-2013,18.3041210174561
01-Jun-2013,14.4439764022827
01-Jul-2013,12.449987411499
01-Aug-2013,13.3956165313721
01-Sep-2013,22.6408100128174
01-Oct-2013,19.2050094604492
01-Nov-2013,41.245059967041
01-Dec-2013,37.9116134643555
01-Jan-2014,57.5006256103516
01-Feb-2014,69.5109405517578
01-Mar-2014,37.3692398071289
01-Apr-2014,16.429515838623
01-May-2014,19.3181819915771
01-Jun-2014,12.2882423400879
01-Jul-2014,16.4725723266602
01-Aug-2014,16.8847198486328
01-Sep-2014,14.8425436019897
01-Oct-2014,23.0319957733154
01-Nov-2014,20.3894882202148
