Date,HF
01-Jan-2010,-179.290049224974
01-Feb-2010,-119.025205091997
01-Mar-2010,-24.3104010683746
01-Apr-2010,97.4100142467635
01-May-2010,129.253507169339
01-Jun-2010,149.148228882801
01-Jul-2010,148.875369407443
01-Aug-2010,88.9601841349847
01-Sep-2010,-10.3583548241117
01-Oct-2010,-66.8727181626874
01-Nov-2010,-68.6047266104476
01-Dec-2010,-176.000362652564
01-Jan-2011,-159.940533815165
01-Feb-2011,-88.9229337368087
01-Mar-2011,-21.6554486610202
01-Apr-2011,99.5305550767499
01-May-2011,159.549997563419
01-Jun-2011,141.659290781134
01-Jul-2011,128.286692638171
01-Aug-2011,112.988856168604
01-Sep-2011,20.6557000277071
01-Oct-2011,-124.788288478324
01-Nov-2011,-97.8946087049401
01-Dec-2011,-178.922078430417
01-Jan-2012,-254.716924825676
01-Feb-2012,-211.688749501828
01-Mar-2012,12.2133763954393
01-Apr-2012,74.3301441283094
01-May-2012,134.215230436664
01-Jun-2012,201.115557945764
01-Jul-2012,142.731734550989
01-Aug-2012,101.980997379589
01-Sep-2012,4.5753483720236
01-Oct-2012,-40.6306143900151
01-Nov-2012,-103.339823409974
