Date,MLD_mean
01-Jan-2013,222.755421514096
01-Feb-2013,718.117651897928
01-Mar-2013,181.697765516198
01-Apr-2013,20.7292084901229
01-May-2013,18.3748346411664
01-Jun-2013,14.7791672167571
01-Jul-2013,12.3736602119778
01-Aug-2013,13.5755115591961
01-Sep-2013,23.0634802113409
01-Oct-2013,21.580588216367
01-Nov-2013,42.023644157078
01-Dec-2013,38.8023203974185
01-Jan-2014,56.0334215578826
01-Feb-2014,75.000719650932
01-Mar-2014,35.2981421429178
01-Apr-2014,16.5186602136363
01-May-2014,19.4278188788373
01-Jun-2014,12.2879720770794
01-Jul-2014,16.738738225854
01-Aug-2014,16.8551732768183
01-Sep-2014,14.8641077124554
01-Oct-2014,24.0187031289806
01-Nov-2014,21.9840537361477
01-Dec-2014,33.4367954420007
