Date,NO3
01-Nov-2008,0.832821958890353
01-Dec-2008,1.16623977237526
01-Jan-2009,1.5296280033744
01-Feb-2009,1.70656341078421
01-Mar-2009,1.98683594909744
01-Apr-2009,1.24783631604499
01-May-2009,1.14267162803133
01-Jun-2009,0.99838227672068
01-Jul-2009,0.855596089504453
01-Aug-2009,0.663834145570932
01-Sep-2009,0.657891915147641
01-Oct-2009,0.867454732532587
01-Nov-2009,1.21111146669457
01-Dec-2009,1.35647509583283
01-Jan-2010,1.98897511255193
01-Feb-2010,2.16206505556792
01-Mar-2010,2.00192805442727
01-Apr-2010,1.19554374828225
01-May-2010,1.03176503640861
01-Jun-2010,0.978910817388489
01-Jul-2010,0.994188255401468
01-Aug-2010,0.852154059984939
01-Sep-2010,0.771718394042811
01-Oct-2010,0.796993746870872
01-Nov-2010,1.02989254056716
01-Dec-2010,1.40462304399692
01-Jan-2011,1.83968765786252
01-Feb-2011,1.92970226279919
01-Mar-2011,1.88133909702473
01-Apr-2011,1.16254072643237
01-May-2011,0.997991615863657
01-Jun-2011,0.882874036047298
01-Jul-2011,0.834466245475965
01-Aug-2011,0.637669551160496
01-Sep-2011,0.5873185200575
01-Oct-2011,0.684147982168724
01-Nov-2011,0.860359737409442
01-Dec-2011,1.11748882991444
01-Jan-2012,1.72153589772089
01-Feb-2012,2.04698915631473
01-Mar-2012,1.9430885179906
01-Apr-2012,1.01005055369175
01-May-2012,0.838486086960995
01-Jun-2012,0.853087446670759
01-Jul-2012,0.804408717367489
01-Aug-2012,0.7204052279707
01-Sep-2012,0.548115911246827
01-Oct-2012,0.60393837899525
01-Nov-2012,0.88222033158055
01-Dec-2012,1.29331279067553
01-Jan-2013,1.83387919211122
01-Feb-2013,2.08659394875293
01-Mar-2013,2.02880867512504
01-Apr-2013,1.28284225714828
01-May-2013,0.899580494024851
01-Jun-2013,0.765111835035882
01-Jul-2013,0.655357742545162
01-Aug-2013,0.577691272572566
01-Sep-2013,0.584976602974931
01-Oct-2013,0.720086372203424
01-Nov-2013,0.853776230458882
01-Dec-2013,1.20955591952352
01-Jan-2014,1.44957408145344
01-Feb-2014,1.58731736161809
01-Mar-2014,1.50716417923055
01-Apr-2014,1.13966685046775
01-May-2014,0.97014041954114
01-Jun-2014,0.66421183514972
01-Jul-2014,0.42140353686018
01-Aug-2014,0.290064622367559
01-Sep-2014,0.321672529394448
01-Oct-2014,0.470078253354502
01-Nov-2014,0.952462173061629
01-Dec-2014,1.16591331522865
01-Jan-2015,1.57634950763327
01-Feb-2015,1.73842932127807
01-Mar-2015,1.72275372816555
01-Apr-2015,1.37259903649624
01-May-2015,0.904116063603299
01-Jun-2015,0.838643625131238
01-Jul-2015,0.802521140631951
01-Aug-2015,0.718905731894282
01-Sep-2015,0.693934541324224
01-Oct-2015,0.8211716585454
01-Nov-2015,0.873085352289315
01-Dec-2015,1.05435638774359
01-Jan-2016,1.56558166943765
01-Feb-2016,1.81659041880136
01-Mar-2016,1.79416145743323
01-Apr-2016,1.18381740244548
01-May-2016,0.779210809528906
01-Jun-2016,0.759736295085651
01-Jul-2016,0.89746497718713
01-Aug-2016,0.737325546604843
01-Sep-2016,0.698713698496303
01-Oct-2016,0.730881930251602
01-Nov-2016,0.860331104534041
01-Dec-2016,1.30179842879684
01-Jan-2017,1.86202759679738
01-Feb-2017,1.94316153024758
01-Mar-2017,1.79284079589332
01-Apr-2017,1.09924629712247
01-May-2017,0.955666788250247
01-Jun-2017,1.12604781603625
01-Jul-2017,1.05730642070883
01-Aug-2017,0.852244579744905
01-Sep-2017,0.681214546778098
01-Oct-2017,0.699080057185562
