"Box","N_P","y","ymin","ymax",".width",".point",".interval"
"Adriatic",186.196337432448,0.0745684659108779,0.0660501385183572,0.0838975194780554,0.8,"median","qi"
"Adriatic",188.006708642023,0.0746129465096037,0.0661277352133239,0.0839579986443861,0.8,"median","qi"
"Adriatic",189.817079851598,0.0746934976070339,0.0661887887893558,0.0840535192213948,0.8,"median","qi"
"Adriatic",191.627451061173,0.0747920243003968,0.0662747366763266,0.0840915073278417,0.8,"median","qi"
"Adriatic",193.437822270748,0.0749027675031216,0.0663348760815102,0.0841723148374839,0.8,"median","qi"
"Adriatic",195.248193480323,0.0749935540130633,0.0664317986932476,0.08426853853941,0.8,"median","qi"
"Adriatic",197.058564689898,0.0750740879785356,0.0665319100704243,0.0843548098531549,0.8,"median","qi"
"Adriatic",198.868935899474,0.0751909511714657,0.0666154797152654,0.0844283032180355,0.8,"median","qi"
"Adriatic",200.679307109049,0.0752788819745666,0.0667799463049877,0.0844992112348606,0.8,"median","qi"
"Adriatic",202.489678318624,0.0753707900652102,0.0669283273756168,0.0845848007830226,0.8,"median","qi"
"Adriatic",204.300049528199,0.0754707538463996,0.0670246184424216,0.0846957165310745,0.8,"median","qi"
"Adriatic",206.110420737774,0.0756084362605036,0.0671531216447835,0.0848315289937897,0.8,"median","qi"
"Adriatic",207.920791947349,0.0757070394397267,0.0672977743091155,0.084954885110516,0.8,"median","qi"
"Adriatic",209.731163156924,0.0758092465226279,0.067415469268839,0.085109555344759,0.8,"median","qi"
"Adriatic",211.541534366499,0.0759330968418667,0.0675643634639012,0.0852460671010726,0.8,"median","qi"
"Adriatic",213.351905576074,0.07605475668877,0.0677117186650904,0.0853655482620997,0.8,"median","qi"
"Adriatic",215.16227678565,0.0761561478965984,0.0678239214826401,0.0854801277633036,0.8,"median","qi"
"Adriatic",216.972647995225,0.0762628032581732,0.0680063585946975,0.0856223743208753,0.8,"median","qi"
"Adriatic",218.7830192048,0.0763588390568345,0.0681276794921147,0.0856843250623484,0.8,"median","qi"
"Adriatic",220.593390414375,0.0764467856888972,0.0682860458478938,0.0857870392926539,0.8,"median","qi"
"Adriatic",222.40376162395,0.0765139728605625,0.0684351318790098,0.0858534406974329,0.8,"median","qi"
"Adriatic",224.214132833525,0.0765901467168813,0.0685336201022812,0.0859666448279945,0.8,"median","qi"
"Adriatic",226.0245040431,0.0766787694191537,0.0686188113510501,0.0860270003644269,0.8,"median","qi"
"Adriatic",227.834875252675,0.0767761495564787,0.0687355208846791,0.0860752677804507,0.8,"median","qi"
"Adriatic",229.64524646225,0.076878057560244,0.0688178371118978,0.086113233439492,0.8,"median","qi"
"Adriatic",231.455617671826,0.0769606171140436,0.0689176699395537,0.0861479109597912,0.8,"median","qi"
"Adriatic",233.265988881401,0.0770508247302444,0.0690673258458034,0.0861625173704622,0.8,"median","qi"
"Adriatic",235.076360090976,0.0771272668867049,0.069196420701214,0.0861409286078837,0.8,"median","qi"
"Adriatic",236.886731300551,0.0771773742478276,0.0692903788235407,0.0862178059732778,0.8,"median","qi"
"Adriatic",238.697102510126,0.0772029122234818,0.0693968302016306,0.086216336212268,0.8,"median","qi"
"Adriatic",240.507473719701,0.0772746384701742,0.0694768730668832,0.0862508147129366,0.8,"median","qi"
"Adriatic",242.317844929276,0.0773322159818484,0.0695206820093835,0.0862285477489773,0.8,"median","qi"
"Adriatic",244.128216138851,0.0773941371740797,0.0695959865975546,0.0862381119917652,0.8,"median","qi"
"Adriatic",245.938587348426,0.0774542575684063,0.0696904491841224,0.0862090225689311,0.8,"median","qi"
"Adriatic",247.748958558002,0.0774621252210977,0.0697259993992152,0.0861535243288159,0.8,"median","qi"
"Adriatic",249.559329767577,0.07748551530189,0.0697580680358839,0.0861044331248914,0.8,"median","qi"
"Adriatic",251.369700977152,0.0774843325059354,0.0697500676521286,0.0860120582559411,0.8,"median","qi"
"Adriatic",253.180072186727,0.0774715973406298,0.0697868294980687,0.0859947399013922,0.8,"median","qi"
"Adriatic",254.990443396302,0.0775169980780003,0.0697835560663624,0.0859576150424693,0.8,"median","qi"
"Adriatic",256.800814605877,0.0775341737599341,0.0698800836310289,0.0859434861735592,0.8,"median","qi"
"Adriatic",258.611185815452,0.077542445469023,0.0699515194012809,0.0858478204187989,0.8,"median","qi"
"Adriatic",260.421557025027,0.0775516355974567,0.0700151980854442,0.0857417858815618,0.8,"median","qi"
"Adriatic",262.231928234602,0.0775630812727582,0.0701558885434018,0.0856454822041409,0.8,"median","qi"
"Adriatic",264.042299444178,0.0775954922534141,0.0701943568984171,0.0855830594295505,0.8,"median","qi"
"Adriatic",265.852670653753,0.0776021507412689,0.07027439520444,0.0854877022135349,0.8,"median","qi"
"Adriatic",267.663041863328,0.0775835775126943,0.0703665211311284,0.0853986152138732,0.8,"median","qi"
"Adriatic",269.473413072903,0.0775795334300877,0.0704412648028538,0.08524008695893,0.8,"median","qi"
"Adriatic",271.283784282478,0.0776073780565929,0.0705611660555222,0.0851349406308736,0.8,"median","qi"
"Adriatic",273.094155492053,0.0775882640911406,0.0705928729768772,0.0850419396295933,0.8,"median","qi"
"Adriatic",274.904526701628,0.0775879906251618,0.0706708312040463,0.0849403533552349,0.8,"median","qi"
"Adriatic",276.714897911203,0.0776199338875918,0.0708408656524295,0.0849249077145385,0.8,"median","qi"
"Adriatic",278.525269120778,0.077644303079257,0.0710724536095155,0.0848455257144334,0.8,"median","qi"
"Adriatic",280.335640330354,0.0776821788747944,0.0712279842778386,0.084808183336427,0.8,"median","qi"
"Adriatic",282.146011539929,0.0776945413173115,0.0713707565413592,0.0847562720837378,0.8,"median","qi"
"Adriatic",283.956382749504,0.0777197889748272,0.0715071101124228,0.0845592697381395,0.8,"median","qi"
"Adriatic",285.766753959079,0.0777338866450931,0.0716399562564206,0.0844875834183622,0.8,"median","qi"
"Adriatic",287.577125168654,0.0777711805497214,0.0718942184647241,0.0844186166944321,0.8,"median","qi"
"Adriatic",289.387496378229,0.077821467180122,0.0720522749586764,0.0843798058968473,0.8,"median","qi"
"Adriatic",291.197867587804,0.0778622273086921,0.0722264801946328,0.0842435330520757,0.8,"median","qi"
"Adriatic",293.008238797379,0.0779232355189068,0.0723579713887628,0.084160963826053,0.8,"median","qi"
"Adriatic",294.818610006955,0.0779828759497693,0.0725435550878701,0.0841271345897672,0.8,"median","qi"
"Adriatic",296.62898121653,0.0780596015509334,0.0726918342224193,0.0840319449541353,0.8,"median","qi"
"Adriatic",298.439352426105,0.0781212211040008,0.0728902230089754,0.0839150143027626,0.8,"median","qi"
"Adriatic",300.24972363568,0.0782386668066229,0.0731075884812981,0.0838688591448627,0.8,"median","qi"
"Adriatic",302.060094845255,0.0782825213447405,0.0733094570376645,0.0838412144085665,0.8,"median","qi"
"Adriatic",303.87046605483,0.078381437154988,0.0735806622950143,0.0837962104498916,0.8,"median","qi"
"Adriatic",305.680837264405,0.0784668883558176,0.0737772859300654,0.0837568472428162,0.8,"median","qi"
"Adriatic",307.49120847398,0.0785647648586346,0.0739437865721711,0.0837600395495477,0.8,"median","qi"
"Adriatic",309.301579683555,0.0786854957529656,0.0741748189874417,0.0837315306961432,0.8,"median","qi"
"Adriatic",311.111950893131,0.0787760586124231,0.0743735113046591,0.0836622623079034,0.8,"median","qi"
"Adriatic",312.922322102706,0.0789008151291718,0.074601800031535,0.0837070175589093,0.8,"median","qi"
"Adriatic",314.732693312281,0.078999925408256,0.0747933004633511,0.0836156801211662,0.8,"median","qi"
"Adriatic",316.543064521856,0.0791253897407138,0.0750149287613018,0.0836635806813361,0.8,"median","qi"
