"Box","SST","y","ymin","ymax",".width",".point",".interval"
"Box 1",18.2086975997527,0.144606850108742,0.137483621126969,0.155351131474464,0.8,"median","qi"
"Box 1",18.2740902379422,0.144358655180874,0.137118865736424,0.155149205279925,0.8,"median","qi"
"Box 1",18.3394828761316,0.144064334998371,0.136737155550901,0.154945750752839,0.8,"median","qi"
"Box 1",18.4048755143211,0.143797928298238,0.136466351756288,0.154681343860155,0.8,"median","qi"
"Box 1",18.4702681525105,0.143493639943993,0.136149152696672,0.154481176150561,0.8,"median","qi"
"Box 1",18.5356607907,0.143227861033305,0.135814678084422,0.1543130868341,0.8,"median","qi"
"Box 1",18.6010534288895,0.142964003660207,0.135497731567651,0.154077751023519,0.8,"median","qi"
"Box 1",18.6664460670789,0.142640148126387,0.135251635113535,0.153766361668769,0.8,"median","qi"
"Box 1",18.7318387052684,0.142348402015313,0.135001866822654,0.153561910186471,0.8,"median","qi"
"Box 1",18.7972313434579,0.141982955291434,0.134650153052648,0.153321058197693,0.8,"median","qi"
"Box 1",18.8626239816473,0.141681392610086,0.134333014928035,0.153041672262338,0.8,"median","qi"
"Box 1",18.9280166198368,0.141313276358985,0.134029276071162,0.152675461388198,0.8,"median","qi"
"Box 1",18.9934092580263,0.140975494450868,0.133673465849488,0.152255714187089,0.8,"median","qi"
"Box 1",19.0588018962157,0.140625532068901,0.133366540530118,0.151953456109306,0.8,"median","qi"
"Box 1",19.1241945344052,0.140318748121635,0.133019403814168,0.151524030296071,0.8,"median","qi"
"Box 1",19.1895871725946,0.139958544879952,0.1326437328769,0.151115276096761,0.8,"median","qi"
"Box 1",19.2549798107841,0.139563311239244,0.132293988274996,0.150818146587325,0.8,"median","qi"
"Box 1",19.3203724489736,0.139183085688147,0.131952051482049,0.150368728627427,0.8,"median","qi"
"Box 1",19.385765087163,0.138779769044832,0.131551178017447,0.14985416689714,0.8,"median","qi"
"Box 1",19.4511577253525,0.138348270155161,0.131165825174155,0.149398942837456,0.8,"median","qi"
"Box 1",19.516550363542,0.137963227884197,0.130820332257308,0.148987490879597,0.8,"median","qi"
