"Box","MLD","y","ymin","ymax",".width",".point",".interval"
"Adriatic",55.9859098438928,0.080237611110229,0.0714205036651772,0.0902848966018672,0.8,"median","qi"
"Adriatic",57.681602511318,0.0793529962181802,0.0704338593748678,0.089554112072695,0.8,"median","qi"
"Adriatic",59.3772951787433,0.0785806753428799,0.0695382304997814,0.088861811340174,0.8,"median","qi"
"Adriatic",61.0729878461685,0.0778651695597053,0.0687737564595406,0.0882533604524105,0.8,"median","qi"
"Adriatic",62.7686805135938,0.0772238323318785,0.0681573606807461,0.087794866576952,0.8,"median","qi"
"Adriatic",64.464373181019,0.0766997143630331,0.0675316519690768,0.0873708289073884,0.8,"median","qi"
"Adriatic",66.1600658484443,0.0762684940426388,0.0670544892958324,0.086949561405221,0.8,"median","qi"
"Adriatic",67.8557585158696,0.0759095515211271,0.066596469666213,0.086639108633307,0.8,"median","qi"
"Adriatic",69.5514511832948,0.0756397773741312,0.0661743747658735,0.0863533739229776,0.8,"median","qi"
"Adriatic",71.2471438507201,0.0753737561064786,0.0657944190471081,0.0861735053003933,0.8,"median","qi"
"Adriatic",72.9428365181453,0.0751592800737598,0.0654567052796632,0.0859517924366618,0.8,"median","qi"
"Adriatic",74.6385291855705,0.074942006491908,0.0651262122659766,0.0857344846779825,0.8,"median","qi"
"Adriatic",76.3342218529958,0.0747166495962202,0.0647239672332328,0.0855948019786322,0.8,"median","qi"
"Adriatic",78.0299145204211,0.0744749857823533,0.0642838894938033,0.0853527432635228,0.8,"median","qi"
"Adriatic",79.7256071878463,0.074218994752912,0.063762550064196,0.0850819072623493,0.8,"median","qi"
"Adriatic",81.4212998552716,0.0738281754609305,0.0632051196485505,0.0848269172181874,0.8,"median","qi"
"Adriatic",83.1169925226968,0.0733064979534375,0.0625683502044924,0.0844368735571445,0.8,"median","qi"
"Adriatic",84.8126851901221,0.0727309148561457,0.0619404400782204,0.0839279363108667,0.8,"median","qi"
"Adriatic",86.5083778575473,0.0720840132327145,0.061070354387495,0.0832526252333469,0.8,"median","qi"
"Adriatic",88.2040705249726,0.0713061080959858,0.0602469574445074,0.0825346283426528,0.8,"median","qi"
"Adriatic",89.8997631923978,0.0704539923964323,0.0593028998606842,0.0816287758254086,0.8,"median","qi"
"Adriatic",91.5954558598231,0.0694395436530879,0.0582056428307166,0.0806995338693481,0.8,"median","qi"
"Adriatic",93.2911485272483,0.0683170195510249,0.0571579426060802,0.079626994099334,0.8,"median","qi"
"Adriatic",94.9868411946736,0.0671190995871731,0.0558288204144933,0.0784547726238224,0.8,"median","qi"
"Adriatic",96.6825338620988,0.0657721056752971,0.0544253968947273,0.0771537617046933,0.8,"median","qi"
"Adriatic",98.3782265295241,0.0643315437109475,0.0529816607574,0.0757126860086969,0.8,"median","qi"
"Adriatic",100.073919196949,0.0628298135967605,0.0515142873894051,0.0742375324257955,0.8,"median","qi"
